,TARIH,FONKODU,FONUNVAN,FIYAT,TEDPAYSAYISI,KISISAYISI,PORTFOYBUYUKLUK,BORSABULTENFIYAT
636,1688688000000,IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,0.243831,805721965.571,6411.0,196459732.77,-
637,1688688000000,IPC,İŞ PORTFÖY CK SERBEST ÖZEL FON,11.585864,3438000.0,1.0,39832200.4,-
638,1688688000000,IPE,İŞ PORTFÖY ANADOLU SİGORTA SERBEST ÖZEL FON,5.149327,390900144.0,3.0,2012872546.9,-
639,1688688000000,IPF,PERFORM PORTFÖY İKİNCİ SERBEST FON,0.044725,1212066534.0,26.0,54210017.88,-
640,1688688000000,IPG,İŞ PORTFÖY ATAK FON SEPETİ FONU,3.524604,57909496.0,1539.0,204108040.86,-
641,1688688000000,IPJ,İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,7.68901,207215342.0,31552.0,1593280766.11,-
642,1688688000000,IPK,İŞ PORTFÖY KOS SERBEST ÖZEL FON,16.955377,64747074.0,1.0,1097811025.28,-
643,1688688000000,IPO,İŞ PORTFÖY ONUR SERBEST ÖZEL FON,13.390274,25252222.0,1.0,338134182.84,-
644,1688688000000,IPP,PERFORM PORTFÖY BIRINCI SERBEST FON,0.051608,16616944025.0,54.0,857564759.69,-
645,1688688000000,IPR,İŞ PORTFÖY ICARUS SERBEST ÖZEL FON,14.567282,615000.0,1.0,8958878.28,-
646,1688688000000,IPU,İŞ PORTFÖY AS SERBEST ÖZEL FON,14.932051,116663621.0,1.0,1742027166.56,-
647,1688688000000,IPV,İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,33.009599,88199539.0,19560.0,2911431384.17,-
648,1688688000000,IRA,İŞ PORTFÖY ALGORİTMİK STRATEJİLER SERBEST (TL) FON,1.405612,53377369.0,13.0,75027846.73,-
649,1688688000000,IRF,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU,1.727369,17822810.0,735.0,30786560.98,-
650,1688688000000,IRL,İSTANBUL PORTFÖY KEY SERBEST FON,4.337707,9615820.0,5.0,41710614.18,-
651,1688688000000,IRT,INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,1.872874,16057853.0,927.0,30074332.07,-
652,1688688000000,IRV,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,2.169222,205517640.0,61.0,445813359.68,-
653,1688688000000,IRY,INVEO PORTFÖY PARA PİYASASI (TL) FONU,1.052326,541800626.0,351.0,570150639.26,-
654,1688688000000,ISR,İŞ PORTFÖY BİRİNCİ SERBEST ÖZEL FON,7.555131,10785405.0,1.0,81485152.72,-
655,1688688000000,ISS,İŞ PORTFÖY DEĞER SERBEST ÖZEL FON,0.083898,699888225.0,7.0,58719430.97,-
656,1688688000000,IST,İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,0.052545,10256495810.386,1777.0,538932487.94,-
657,1688688000000,ITA,İŞ PORTFÖY ARSLAN SERBEST (DÖVİZ) ÖZEL FON,27.844296,11000000.0,1.0,306287254.7,-
658,1688688000000,ITD,İŞ PORTFÖY TE2 SERBEST (DÖVİZ) ÖZEL FON,26.885543,36838863.0,1.0,990432845.0,-
659,1688688000000,ITJ,İSTANBUL PORTFÖY SEKİZİNCİ SERBEST FON,3.557736,195566257.0,1.0,695773105.13,-
660,1688688000000,ITL,İŞ PORTFÖY DELTA SERBEST (TL) FON,1.169473,266779862.0,11.0,311991914.09,-
661,1688688000000,ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,3.438881,122130058.0,10170.0,419990755.58,-
662,1688688000000,ITR,İŞ PORTFÖY TE1 SERBEST ÖZEL FON,1.285432,204520000.0,1.0,262896465.96,-
663,1688688000000,ITV,İŞ PORTFÖY ALTINCI SERBEST (DÖVİZ) FON,27.177036,15050000.0,59.0,409014397.77,-
664,1688688000000,IUA,İSTANBUL PORTFÖY KARYA SERBEST (DÖVİZ) FON,27.993904,13277654.0,57.0,371693368.41,-
665,1688688000000,IUB,İŞ PORTFÖY EVREN SERBEST (DÖVİZ) ÖZEL FON,28.310504,3914287.0,3.0,110815438.35,-
666,1688688000000,IUC,INVEO PORTFÖY GEDİK YATIRIM SERBEST (TL) ÖZEL FON,2.26373,125107747.0,2.0,283210166.13,-
667,1688688000000,IUF,İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON,28.003882,6512629.0,258.0,182378891.45,-
668,1688688000000,IUH,INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,1.794576,1418662.0,475.0,2545896.86,-
669,1688688000000,IUM,İŞ PORTFÖY HK SERBEST (DÖVİZ) ÖZEL FON,27.880588,3409713.0,1.0,95064803.47,-
670,1688688000000,IUN,İŞ PORTFÖY YELKEN SERBEST (DÖVİZ) ÖZEL FON,29.257204,3921916.0,4.0,114744297.23,-
671,1688688000000,IUS,İŞ PORTFÖY OKYANUS SERBEST (TL) ÖZEL FON,1.674315,17331309.0,1.0,29018066.18,-
